batch,epoch,step,train_loss,val_loss
,73,23679,,13.628488540649414
0.0,74.0,23749,20.160900115966797,
,74,23839,,11.64892292022705
0.0,74.0,23999,20.160900115966797,
,74,23999,,11.800111770629883
,75,24159,,13.247527122497559
0.0,75.0,24249,12.698689460754395,
,75,24319,,12.173421859741211
,76,24479,,11.932734489440918
0.0,76.0,24499,12.640921592712402,
,76,24639,,12.920105934143066
0.0,77.0,24749,13.609367370605469,
,77,24799,,13.180204391479492
,77,24959,,15.07494068145752
0.0,78.0,24999,8.997289657592773,
,78,25119,,17.99699592590332
0.0,78.0,25249,8.997289657592773,
,78,25279,,23.131126403808594
,79,25439,,29.2924747467041
0.0,79.0,25499,43.91714096069336,
,79,25599,,22.650550842285156
0.0,80.0,25749,12.484580993652344,
,80,25759,,18.877782821655273
,80,25919,,19.46735954284668
0.0,81.0,25999,11.630736351013184,
,81,26079,,17.685688018798828
,81,26239,,16.044025421142578
0.0,82.0,26249,37.37247085571289,
,82,26399,,16.587657928466797
0.0,82.0,26499,37.37247085571289,
,82,26559,,15.699762344360352
,83,26719,,14.69937515258789
0.0,83.0,26749,19.154748916625977,
,83,26879,,16.56814956665039
0.0,84.0,26999,21.794321060180664,
,84,27039,,15.973474502563477
,84,27199,,16.898656845092773
0.0,85.0,27249,19.47357940673828,
,85,27359,,14.630434036254883
0.0,85.0,27499,19.47357940673828,
,85,27519,,18.215816497802734
,86,27679,,17.57464027404785
0.0,86.0,27749,24.00640869140625,
,86,27839,,16.486238479614258
0.0,87.0,27999,16.655872344970703,
,87,27999,,17.509998321533203
,87,28159,,19.097091674804688
0.0,88.0,28249,16.257349014282227,
,88,28319,,17.43024444580078
,88,28479,,20.823421478271484
0.0,89.0,28499,15.904976844787598,
,89,28639,,23.474288940429688
0.0,89.0,28749,15.904976844787598,
,89,28799,,21.431812286376953
,90,28959,,23.660585403442383
0.0,90.0,28999,11.915425300598145,
,90,29119,,20.741697311401367
0.0,91.0,29249,16.393917083740234,
,91,29279,,22.092716217041016
,91,29439,,19.726285934448242
0.0,92.0,29499,17.091167449951172,
,92,29599,,19.255449295043945
0.0,92.0,29749,17.091167449951172,
,92,29759,,21.193513870239258
,93,29919,,21.908756256103516
0.0,93.0,29999,22.785486221313477,
,93,30079,,21.597684860229492
,94,30239,,20.626789093017578
0.0,94.0,30249,13.477127075195312,
,94,30399,,20.760629653930664
0.0,95.0,30499,19.184274673461914,
,95,30559,,20.48314094543457
,95,30719,,19.547266006469727
0.0,96.0,30749,17.88896942138672,
,96,30879,,19.163837432861328
0.0,96.0,30999,17.88896942138672,
,96,31039,,19.946779251098633
,97,31199,,21.748401641845703
0.0,97.0,31249,16.76605796813965,
,97,31359,,20.580081939697266
0.0,98.0,31499,15.432390213012695,
,98,31519,,22.08133888244629
,98,31679,,26.088294982910156
0.0,99.0,31749,21.748977661132812,
,99,31839,,22.691896438598633
0.0,99.0,31999,21.748977661132812,
,99,31999,,22.155332565307617
